COUNTY,Measure Names,Profession,Measure Values
GRIMES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GREGG ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GRAYSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,2.226328562
GRAY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GONZALES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GOLIAD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GLASSCOCK ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GILLESPIE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GARZA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
GALVESTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.265840788
GAINES ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FRIO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FREESTONE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FRANKLIN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FORT BEND ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.320235352
FOARD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FLOYD ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FISHER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FAYETTE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FANNIN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
FALLS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ERATH ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ELLIS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
EL PASO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.446092508
EDWARDS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ECTOR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
EASTLAND ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DUVAL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DONLEY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DIMMIT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DICKENS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DENTON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.015688322
DELTA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DEAF SMITH ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DE WITT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DAWSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
DALLAS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.316275650
DALLAM ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CULBERSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CROSBY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CROCKETT ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CRANE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COTTLE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CORYELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COOKE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CONCHO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COMANCHE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COMAL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.231208678
COLORADO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COLLINGSWORTH ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COLLIN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.088364748
COLEMAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COKE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
COCHRAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CLAY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CHILDRESS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CHEROKEE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.908542637
CHAMBERS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CASTRO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CASS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CARSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CAMP ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CAMERON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CALLAHAN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CALHOUN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
CALDWELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BURNET ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BURLESON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BROWN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BROOKS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BRISCOE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BREWSTER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BRAZOS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BRAZORIA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.755427748
BOWIE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BOSQUE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BORDEN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BLANCO ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BEXAR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0.677212215
BELL ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,1.910177974
BEE ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BAYLOR ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BASTROP ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BANDERA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
BAILEY ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
AUSTIN ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,3.228514238
ATASCOSA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ARMSTRONG ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ARCHER ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ARANSAS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ANGELINA ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ANDREWS ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ANDERSON ,RATIO PROFESSION TO 100K POPULATION ,Assistant Behavior Analyst,0
ZAVALA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ZAPATA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
YOUNG ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
YOAKUM ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WOOD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,46166
WISE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WINKLER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WILSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WILLIAMSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,326093
WILLACY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WILBARGER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WICHITA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,66647.5
WHEELER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WHARTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WEBB ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WASHINGTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WARD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
WALLER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,53060
WALKER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
VICTORIA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
VAN ZANDT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
VAL VERDE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
UVALDE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
UPTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
UPSHUR ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TYLER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TRINITY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TRAVIS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,195448.428571429
TOM GREEN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TITUS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
THROCKMORTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TERRY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TERRELL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TAYLOR ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
TARRANT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,224987.8
SWISHER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SUTTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
STONEWALL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
STERLING ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
STEPHENS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
STARR ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SOMERVELL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SMITH ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,121185.5
SHERMAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SHELBY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SHACKELFORD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SCURRY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SCHLEICHER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SAN SABA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SAN PATRICIO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,73464
SAN JACINTO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SAN AUGUSTINE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
SABINE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
RUSK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
RUNNELS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ROCKWALL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,55378.5
ROBERTSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ROBERTS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
REFUGIO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
REEVES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
RED RIVER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
REAL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
REAGAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
RANDALL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
RAINS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
PRESIDIO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
POTTER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
POLK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
PECOS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
PARMER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
PARKER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
PANOLA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
PALO PINTO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ORANGE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
OLDHAM ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
OCHILTREE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
NUECES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,198951
NOLAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
NEWTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
NAVARRO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,47930
NACOGDOCHES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MOTLEY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MORRIS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MOORE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MONTGOMERY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,84016.375
MONTAGUE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MITCHELL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MILLS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MILAM ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MIDLAND ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MENARD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MEDINA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,52122
MCMULLEN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MCLENNAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,86100.666666667
MCCULLOCH ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MAVERICK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MATAGORDA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MASON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MARTIN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MARION ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
MADISON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LYNN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LUBBOCK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LOVING ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LLANO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LIVE OAK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LIPSCOMB ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LIMESTONE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LIBERTY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LEON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LEE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LAVACA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LAMPASAS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,21467
LAMB ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LAMAR ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
LA SALLE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KNOX ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KLEBERG ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KINNEY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KING ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KIMBLE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KERR ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KENT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KENEDY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KENDALL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
KAUFMAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,66417
KARNES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JONES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JOHNSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,178297
JIM WELLS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JIM HOGG ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JEFFERSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,260138
JEFF DAVIS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JASPER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JACKSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
JACK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
IRION ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HUTCHINSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HUNT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HUDSPETH ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,3404
HOWARD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HOUSTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HOPKINS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HOOD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HOCKLEY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HILL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HIDALGO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,179540.6
HENDERSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,81679
HEMPHILL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HAYS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HASKELL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HARTLEY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HARRISON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HARRIS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,164328.96875
HARDIN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HARDEMAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HANSFORD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HAMILTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HALL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
HALE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GUADALUPE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GRIMES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GREGG ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GRAYSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,44917
GRAY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GONZALES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GOLIAD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GLASSCOCK ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GILLESPIE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GARZA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
GALVESTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,376165
GAINES ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FRIO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FREESTONE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FRANKLIN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FORT BEND ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,312270.333333333
FOARD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FLOYD ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FISHER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FAYETTE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FANNIN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
FALLS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ERATH ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ELLIS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
EL PASO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,224168.75
EDWARDS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
ECTOR ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
EASTLAND ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DUVAL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DONLEY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DIMMIT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DICKENS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DENTON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,98455.4
DELTA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DEAF SMITH ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DE WITT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DAWSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
DALLAS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,316179.888888889
DALLAM ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CULBERSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CROSBY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CROCKETT ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CRANE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COTTLE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CORYELL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COOKE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CONCHO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COMANCHE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COMAL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,81221
COLORADO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COLLINGSWORTH ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COLLIN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,1131673
COLEMAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COKE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
COCHRAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CLAY ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CHILDRESS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CHEROKEE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,52396
CHAMBERS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CASTRO ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CASS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CARSON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CAMP ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CAMERON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CALLAHAN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CALHOUN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
CALDWELL ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BURNET ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BURLESON ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BROWN ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BROOKS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BRISCOE ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BREWSTER ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BRAZOS ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,0
BRAZORIA ,RATIO POPULATION TO PROFESSION ,Assistant Behavior Analyst,132375.333333333
